Run Date,Subject,Story ID,Workflow,Requests (G3 Pro),Requests (G2.5 Pro),Requests (G2.5 Flash),Requests (G2.5 Lite),Input Tokens (G3 Pro),Input Tokens (G2.5 Pro),Input Tokens (G2.5 Flash),Input Tokens (G2.5 Lite),Cache Reads (G3 Pro),Cache Reads (G2.5 Pro),Cache Reads (G2.5 Flash),Cache Reads (G2.5 Lite),Output Tokens (G3 Pro),Output Tokens (G2.5 Pro),Output Tokens (G2.5 Flash),Output Tokens (G2.5 Lite),Code Changes +,Code Changes -,AI API Time (sec),AI Tool Time (sec),Human Action Time (min),Interventions,Notes
20250203,b,1-1,create-story,5,,,,31276,,,,67122,,,,2375,,,,136,2,71,135,0,0,
20250203,b,1-1,dev-story,82,,3,20,275167,,12640,4307,1874329,,,,11535,,357,10,580,102,459,748,1,1,
20250203,c,1-1,create-story,13,,1,,45236,,511,,152203,,3763,,2489,,300,,115,2,135,25.2,0,0,
20250203,b,1-2,create-story,11,,,1,73811,,,1110,165052,,,,1870,,,11,99,1,100,10.9,0,0,
20250203,c,1-1,dev-story,59,,1,10,182148,,5782,5576,1267873,,,3062,9161,,168,16,449,30,423,790,0.5,2,
20250203,b,1-2,dev-story,71,,2,,236140,,9221,,1265366,,,,10998,,223,,514,63,666,13091,0,0,không commit được vì dính git hook của coretext bị lỗi link. phải chạy poetry run coretext stop trước khi commit các branch exp-a và exp-b.
20250203,c,1-2,create-story,16,,,1,40950,,,1080,218677,,,,1990,,,11,105,1,185,176,0,0,"lần đầu agent biết dùng ngay tool query knowledge, có sửa các tham số top_k và depth. không trình bày bằng text dài dòng. khi commit thì git hook phát hiện ra link lỗi, có phải chạy coretext lint, check ra lỗi trỏ đến file khác bị sai (3 lỗi), liên quan đến vị trí file (phải dùng ../ khi khác thư mục mẹ) phải sửa lại manually. agent biết im cái miệng, không lèm bèm"
20250203,c,1-2,dev-story,9,,,2,212827,,,4303,191011,,,,3042,,,19,35,19,104,288,0,0,"có vấn đề với việc nắm giữ context quan trọng. đẻ ra trò dùng sqllite và json thay vì dùng postgresql và jsonb. phải tạm dưng và tiếp tục 1 lần do hết quota giữa chừng. số request và thời gian ít, không phản ánh đúng thực tế, số token hợp lý hơn. lần sau trước khi chạy thì phải kiểm tra số quota còn lại ít nhất là 20%"
20250203,b,1-3,create-story,7,,,1,40823,,,868,136779,,,,1848,,,12,91,1,94,138,0,0,"poetry run coretext stop vẫn không hiệu quả. chỉ tạm dừng hook và fastapi server, chứ vẫn để surrealdb chạy. khi commit thì hook tự động dựng server lên."
20250204,c,1-3,create-story,7,,,2,66984,,,,40819,,,,2347,,,,105,1,90,381,0,0,"thời gian tool không chính xác vì tính cả thời gian đợi user allow tool. vẫn có hiện tượng làm các động tác thừa như kiểm tra git. và nói quá nhiều. nên tập trung vào thực thi, không nói gì cả"
