Run Date,Subject,Story ID,Workflow,Requests,Input Tokens,Cache Reads,Output Tokens,Code Changes +,Code Changes -,AI API Time (sec),AI Tool Time (sec),Human Action Time (min),Interventions,Notes
20250203,b,1-1,cs,5,31276,67122,2375,136,2,71,135,0,0,
20250203,b,1-1,ds,82 pro 20 lite 3 flash,275167 pro 4307 lite 12640 flash,1874329,11535 pro 10 lite 357 flash,580,102,459,748,1,1,
20250203,c-2,1-1,cs,13 pro 1 flash,45236 pro 511 flash,152203 pro 3763 flash,2489 pro 300 flash,115,2,135,25.2,0,0,
20250203,b,1-2,cs,11 pro 1 lite,73811 pro 1110 lite,165052,1870 pro 11 lite,99,1,100,10.9,0,0,
20250203,c-2,1-1,ds,59 pro 1 flash 10 lite,182148 pro 5782 flash 5576 lite,1267873 pro 3062 lite,9161 pro 168 flash 16 lite,449,30,423,790,0.5,2,
20250203,b,1-2,ds,71 pro 2 flash,236140 pro 9221 flash,1265366,10998 pro 223 flash,514,63,666,13091,0,0,không commit được vì dính git hook của coretext bị lỗi link. phải chạy poetry run coretext stop trước khi commit các branch exp-a và exp-b.
20250203,c-2,1-2,cs,16 pro 1 lite,40950 pro 1080 lite,218677,1990 pro 11 lite,105,1,185,176,0,0,"lần đầu agent biết dùng ngay tool query knowledge, có sửa các tham số top_k và depth. không trình bày bằng text dài dòng. khi commit thì git hook phát hiện ra link lỗi, có phải chạy coretext lint, check ra lỗi trỏ đến file khác bị sai (3 lỗi), liên quan đến vị trí file (phải dùng ../ khi khác thư mục mẹ) phải sửa lại manually. agent biết im cái miệng, không lèm bèm"
20250203,c-2,1-2,ds,9 pro 2 lite,212827 pro 4303 lite,191011,3042 pro 19 lite,35,19,104,288,0,0,"có vấn đề với việc nắm giữ context quan trọng. đẻ ra trò dùng sqllite và json thay vì dùng postgresql và jsonb. phải tạm dưng và tiếp tục 1 lần do hết quota giữa chừng. số request và thời gian ít, không phản ánh đúng thực tế, số token hợp lý hơn. lần sau trước khi chạy thì phải kiểm tra số quota còn lại ít nhất là 20%"
20250203,b,1-3,cs,7 pro 1 lite,40823 pro 868 lite,136779,1848 pro 12 lite,91,1,94,138,0,0,"poetry run coretext stop vẫn không hiệu quả. chỉ tạm dừng hook và fastapi server, chứ vẫn để surrealdb chạy. khi commit thì hook tự động dựng server lên."
20250204,c-2,1-3,cs,7 pro 2 lite,66984,40819,2347,105,1,90,381,0,0,"thời gian tool không chính xác vì tính cả thời gian đợi user allow tool. vẫn có hiện tượng làm các động tác thừa như kiểm tra git. và nói quá nhiều. nên tập trung vào thực thi, không nói gì cả"
20250204,b,1-3,ds,58 pro 2 flash,200869 pro 9450 flash,1235399,10106 pro 289 flash,386,25,447,2293,0,0,
20250204,c-2,1-3,ds,59 pro 2 flash,325452 pro 12983 flash,1247087,11107 pro 216 flash,419,36,415,1418,0,1,phải dừng thủ công vì agent tự nhảy sang workflow mới
20250204,b,1-4,cs,11 pro 1 lite,62368 pro 1004 lite,197741,2005 pro 12 lite,102,1,99,145,0,0,
